conversation_no,talk_day,length,topic_description,prompt,from_caller_sex,from_caller_education,from_caller_birth_year,from_caller_dialect_area,to_caller_sex,to_caller_education,to_caller_birth_year,to_caller_dialect_area
2316,910327,10,PUBLIC EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY,FEMALE,2,1960,NEW ENGLAND,MALE,2,1963,SOUTH MIDLAND
2317,910327,10,HOBBIES AND CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?,FEMALE,1,1942,SOUTH MIDLAND,FEMALE,9,1956,WESTERN
2318,910327,10,CAPITAL PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?,FEMALE,2,1960,NEW ENGLAND,FEMALE,2,1961,SOUTH MIDLAND
2319,910327,10,BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?,MALE,2,1965,SOUTH MIDLAND,MALE,2,1956,NORTHERN
2320,910327,8,FAMILY FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES,MALE,3,1944,NORTH MIDLAND,FEMALE,1,1965,SOUTH MIDLAND
2323,910328,6,SOVIET UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.,FEMALE,3,1941,NORTHERN,MALE,3,1969,NORTHERN
2324,910328,6,METRIC SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?,FEMALE,2,1962,SOUTHERN,FEMALE,2,1961,SOUTH MIDLAND
2325,910328,6,CHILD CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?,FEMALE,2,1956,WESTERN,FEMALE,9,1951,NORTHERN
2326,910328,10,BUYING A CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.,MALE,3,1944,NORTH MIDLAND,MALE,2,1963,SOUTH MIDLAND
2327,910328,5,TAXES,TALK ABOUT WHETHER AMERICANSY,MALE,3,1942,SOUTH MIDLAND,MALE,2,1950,NORTH MIDLAND
2328,910328,10,FAMILY LIFE,IF YOU HAVE CHILDRENY,FEMALE,2,1934,NORTH MIDLAND,FEMALE,2,1957,SOUTHERN
2329,910328,10,BUYING A CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.,MALE,2,1937,NEW ENGLAND,FEMALE,2,1963,SOUTH MIDLAND
2330,910328,10,WEATHER CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.,MALE,3,1952,WESTERN,FEMALE,2,1945,SOUTHERN
2331,910328,4,GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?,MALE,2,1950,NORTHERN,MALE,2,1963,NORTHERN
2332,910328,8,DRUG TESTING,HOW DO YOU FEEL ABOUT THE PRACTICE OF SOME COMPANIES OR GOVERNMENT AGENCIES TESTING EMPLOYEES OR PROSPECTIVE EMPLOYEES FOR DRUGS?  IS RANDOM SPOT TESTING JUSTIFIED?  WHAT LIMITS SHOULD THERE BE,MALE,3,1941,NEW ENGLAND,MALE,2,1960,WESTERN
2333,910328,10,RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.,MALE,2,1961,NORTH MIDLAND,MALE,3,1953,SOUTHERN
2334,910328,10,CREDIT CARD USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?,MALE,3,1962,MIXED,FEMALE,3,1951,SOUTH MIDLAND
2335,910328,10,CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?,FEMALE,9,1956,WESTERN,MALE,3,1965,NORTH MIDLAND
2336,910328,9,BUYING A CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.,MALE,2,1958,SOUTH MIDLAND,MALE,3,1939,SOUTH MIDLAND
2337,910328,8,METRIC SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?,MALE,3,1933,NEW ENGLAND,MALE,3,1967,NORTHERN
2338,910328,10,CAPITAL PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?,FEMALE,1,1965,SOUTH MIDLAND,MALE,2,1953,SOUTHERN
2339,910328,10,CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?,FEMALE,3,1951,SOUTH MIDLAND,FEMALE,2,1959,SOUTH MIDLAND
2340,910328,7,CARE OF THE ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?,MALE,3,1938,NYC,FEMALE,2,1964,SOUTH MIDLAND
2341,910328,10,TAXES,TALK ABOUT WHETHER AMERICANSY,MALE,2,1958,SOUTH MIDLAND,FEMALE,2,1963,SOUTHERN
2342,910328,8,MIDDLE EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?,MALE,2,1949,NORTH MIDLAND,MALE,3,1965,NYC
2343,910328,10,MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?,MALE,2,1956,NORTHERN,FEMALE,2,1961,SOUTH MIDLAND
2344,910328,10,SOVIET UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.,MALE,3,1965,NYC,FEMALE,2,1965,SOUTH MIDLAND
2345,910328,10,CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?,FEMALE,1,1942,WESTERN,MALE,3,1943,SOUTHERN
2346,910401,9,PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS,MALE,3,1936,MIXED,FEMALE,1,1939,MIXED
2347,910401,9,WOMEN'S ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?,FEMALE,2,1934,NORTH MIDLAND,FEMALE,2,1956,NORTH MIDLAND
2348,910401,10,FAMILY FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES,MALE,2,1937,NEW ENGLAND,FEMALE,2,1945,SOUTHERN
2349,910401,10,UNIVERSAL PBLIC SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE,MALE,2,1935,SOUTH MIDLAND,FEMALE,2,1961,NORTH MIDLAND
2350,910401,4,WEATHER CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.,FEMALE,2,1959,MIXED,FEMALE,2,1963,SOUTH MIDLAND
2352,910401,6,RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?,FEMALE,3,1940,SOUTH MIDLAND,MALE,3,1953,SOUTHERN
2353,910401,10,UNIVERSAL PBLIC SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE,MALE,3,1960,NORTH MIDLAND,FEMALE,3,1959,SOUTH MIDLAND
2354,910401,9,BOOKS AND LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?,FEMALE,2,1962,SOUTHERN,MALE,2,1950,NORTH MIDLAND
2355,910401,10,SOCIAL CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY,FEMALE,2,1968,NYC,FEMALE,9,1951,NORTHERN
2356,910401,8,TV PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?,FEMALE,1,1965,SOUTH MIDLAND,FEMALE,2,1961,WESTERN
2358,910401,10,GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.,FEMALE,2,1957,SOUTH MIDLAND,FEMALE,2,1957,MIXED
2359,910401,7,RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.,MALE,3,1941,NEW ENGLAND,FEMALE,3,1956,SOUTH MIDLAND
2360,910401,10,TV PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?,MALE,2,1933,SOUTH MIDLAND,FEMALE,3,1931,NEW ENGLAND
2361,910401,7,JOB BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB,MALE,2,1958,SOUTH MIDLAND,FEMALE,1,1938,NEW ENGLAND
2362,910401,10,PUBLIC EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY,MALE,3,1962,MIXED,FEMALE,2,1957,SOUTHERN
2363,910401,10,JOB BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB,FEMALE,1,1942,WESTERN,MALE,2,1939,SOUTHERN
2365,910401,10,PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY,MALE,3,1943,SOUTHERN,FEMALE,2,1965,SOUTHERN
2366,910401,8,MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?,MALE,2,1950,SOUTH MIDLAND,MALE,3,1946,MIXED
2367,910401,9,RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.,MALE,2,1958,SOUTH MIDLAND,MALE,3,1965,NORTH MIDLAND
2368,910401,6,HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?,MALE,2,1950,SOUTH MIDLAND,FEMALE,2,1953,NORTH MIDLAND
2369,910401,10,CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?,MALE,2,1950,SOUTH MIDLAND,MALE,3,1933,NEW ENGLAND
2370,910401,8,WOMEN'S ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?,FEMALE,2,1961,SOUTH MIDLAND,MALE,3,1959,WESTERN
2371,910401,10,WEATHER CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.,MALE,3,1961,SOUTH MIDLAND,FEMALE,2,1964,SOUTH MIDLAND
2372,910401,6,COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?,FEMALE,2,1965,SOUTH MIDLAND,FEMALE,2,1963,SOUTH MIDLAND
2373,910401,10,POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY,FEMALE,2,1969,NORTH MIDLAND,MALE,2,1954,SOUTH MIDLAND
2374,910401,10,BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?,MALE,2,1965,SOUTH MIDLAND,MALE,2,1964,NORTH MIDLAND
2375,910402,5,COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?,FEMALE,3,1941,NORTHERN,FEMALE,2,1944,MIXED
2376,910402,5,RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?,MALE,2,1935,SOUTH MIDLAND,FEMALE,9,1951,NORTHERN
2377,910402,6,METRIC SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?,MALE,3,1936,MIXED,FEMALE,2,1963,SOUTH MIDLAND
2378,910402,10,CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?,MALE,2,1937,NEW ENGLAND,MALE,2,1965,SOUTH MIDLAND
2379,910402,10,SOCIAL CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY,MALE,3,1961,WESTERN,MALE,2,1950,NORTH MIDLAND
2380,910402,10,TRIAL BY JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE,FEMALE,3,1942,SOUTH MIDLAND,FEMALE,2,1953,NORTH MIDLAND
2381,910402,10,CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?,MALE,3,1953,SOUTHERN,FEMALE,2,1957,SOUTH MIDLAND
2382,910402,9,EXERCISE AND FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES,MALE,3,1952,WESTERN,FEMALE,2,1954,NORTH MIDLAND
2383,910402,9,PUBLIC EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY,FEMALE,2,1959,MIXED,MALE,2,1957,SOUTH MIDLAND
2384,910402,5,AUTO REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.,MALE,2,1958,SOUTH MIDLAND,FEMALE,3,1931,NEW ENGLAND
2386,910402,10,EXERCISE AND FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES,FEMALE,3,1951,SOUTH MIDLAND,MALE,3,1938,NYC
2387,910402,10,MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?,FEMALE,2,1959,SOUTH MIDLAND,FEMALE,2,1941,SOUTH MIDLAND
2388,910402,8,GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?,MALE,2,1958,SOUTH MIDLAND,MALE,2,1939,SOUTHERN
2389,910402,6,WOMEN'S ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?,FEMALE,2,1969,NORTH MIDLAND,FEMALE,1,1938,NEW ENGLAND
2390,910402,10,CREDIT CARD USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?,FEMALE,2,1960,NEW ENGLAND,FEMALE,2,1963,SOUTH MIDLAND
2392,910402,8,RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.,FEMALE,1,1965,SOUTH MIDLAND,MALE,3,1943,SOUTHERN
2393,910402,10,GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.,FEMALE,3,1959,SOUTH MIDLAND,FEMALE,3,1959,SOUTH MIDLAND
2394,910402,10,MIDDLE EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?,MALE,2,1969,MIXED,MALE,2,1964,NORTH MIDLAND
2395,910402,10,NEWS MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?,FEMALE,2,1965,SOUTH MIDLAND,MALE,2,1964,NORTHERN
2396,910402,10,PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS,FEMALE,2,1961,SOUTH MIDLAND,FEMALE,2,1961,SOUTH MIDLAND
2397,910402,10,HOBBIES AND CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?,FEMALE,2,1960,NORTH MIDLAND,FEMALE,1,1947,MIXED
2398,910402,10,AUTO REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.,MALE,2,1956,NORTHERN,MALE,2,1953,SOUTHERN
2399,910402,10,CREDIT CARD USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?,MALE,2,1963,SOUTH MIDLAND,MALE,3,1939,SOUTH MIDLAND
2401,910402,6,BUYING A CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.,MALE,2,1950,SOUTH MIDLAND,FEMALE,9,1956,WESTERN
2402,910403,6,GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?,FEMALE,2,1934,NORTH MIDLAND,MALE,2,1964,NORTH MIDLAND
2403,910403,6,MIDDLE EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?,FEMALE,3,1940,SOUTH MIDLAND,FEMALE,1,1941,WESTERN
2404,910403,10,PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS,FEMALE,3,1959,SOUTH MIDLAND,FEMALE,2,1957,MIXED
2405,910403,10,COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?,FEMALE,2,1959,MIXED,FEMALE,2,1963,SOUTH MIDLAND
2406,910403,9,MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?,MALE,2,1950,SOUTH MIDLAND,MALE,2,1960,WESTERN
2407,910403,8,PUBLIC EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY,FEMALE,2,1954,NORTH MIDLAND,FEMALE,2,1945,SOUTHERN
2408,910403,10,PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS,MALE,2,1935,SOUTH MIDLAND,MALE,3,1953,SOUTHERN
2409,910403,9,CREDIT CARD USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?,FEMALE,2,1964,SOUTH MIDLAND,MALE,3,1942,SOUTH MIDLAND
2410,910403,6,SOVIET UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.,FEMALE,2,1962,SOUTHERN,FEMALE,2,1963,SOUTH MIDLAND
2411,910403,10,FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?,FEMALE,1,1965,SOUTH MIDLAND,MALE,3,1965,NORTH MIDLAND
2413,910403,10,POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY,FEMALE,2,1959,SOUTH MIDLAND,MALE,3,1943,SOUTHERN
2415,910403,7,IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS,FEMALE,1,1942,WESTERN,MALE,2,1954,SOUTH MIDLAND
2416,910403,10,EXERCISE AND FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES,MALE,3,1962,MIXED,MALE,2,1933,SOUTH MIDLAND
2417,910403,7,UNIVERSAL PBLIC SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE,MALE,3,1969,NORTHERN,MALE,2,1965,SOUTH MIDLAND
